MeanPriceDistrict;Square;LifeSquare_per_Square;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Ecology_2_bin;Social_1;Social_3;Helthcare_2;Shops_2_bin;Price
2763.7097;115.02731000000001;0.61738354;10.0;4;10;2014;0.07542368;0;11;0;0;0;305018.88
2763.7097;44.203945000000004;0.61738354;6.0;2;13;1977;0.072157584;0;2;1;0;1;135466.56
2763.7097;58.78366;0.61738354;11.0;13;13;1977;0.011654127;0;4;0;0;0;138396.98
2763.7097;52.084435;0.61738354;6.0;13;17;1977;0.072157584;0;2;1;0;1;155463.1
2763.7097;47.55769;0.47694328;6.0;7;13;1977;0.017647052;0;2;0;0;0;130190.64
2763.7097;37.340508;0.61738354;10.0;8;17;2017;0.21140121;0;9;0;0;0;108540.77
2763.7097;49.029747;0.61738354;6.0;17;25;2016;0.072157584;0;2;1;0;1;138397.36
2763.7097;66.57715999999999;0.61738354;6.0;10;17;1977;0.017647052;0;2;0;0;0;187907.06
2763.7097;119.91498999999999;0.65478784;13.0;8;12;2015;0.072157584;0;2;1;0;1;221374.06
2763.7097;98.64941;0.61738354;6.0;3;13;2019;0.072157584;0;2;1;0;1;294689.62
2763.7097;44.01667;0.63360745;5.0;3;5;1975;0.21140121;0;9;0;0;0;122017.67
2763.7097;48.175959999999996;0.61738354;16.0;2;14;2011;0.051815435;0;5;0;0;0;131073.66
2763.7097;40.787696999999994;0.60017234;10.0;8;19;2019;0.21140121;0;9;0;0;0;96245.516
2763.7097;51.316357;0.61738354;6.0;8;17;1977;0.011654127;0;4;0;0;0;149654.19
2763.7097;38.73793;0.62414587;8.0;14;14;2005;0.041116353;0;53;4;1;0;182642.36
2763.7097;84.274055;0.59929925;8.0;7;9;1997;0.041116353;0;53;4;1;0;291518.53
2763.7097;38.936985;0.61738354;6.0;18;19;2017;0.21140121;0;9;0;0;0;93560.79
2763.7097;47.82132;0.61738354;6.0;10;25;1977;0.072157584;0;2;1;0;1;143244.42
2763.7097;41.728984999999994;0.61738354;6.0;11;13;1977;0.011654127;0;4;0;0;0;112236.13
2763.7097;80.41679;0.52349555;6.0;7;14;2016;0.017647052;0;2;0;0;0;228740.42
2763.7097;59.734455000000004;0.61738354;6.0;5;13;1977;0.21140121;0;9;0;0;0;149782.3
2763.7097;72.86825;0.56425625;13.0;5;12;2012;0.072157584;0;2;1;0;1;139012.88
2763.7097;66.45265;0.61738354;6.0;4;16;1977;0.017647052;0;2;0;0;0;178312.31
2763.7097;41.254333;0.61738354;6.0;5;19;2014;0.21140121;0;9;0;0;0;94519.9
2763.7097;40.09644;0.61738354;6.0;12;12;1977;0.011654127;0;4;0;0;0;110733.75
2763.7097;123.43007;0.61738354;7.0;5;10;2015;0.017647052;0;2;0;0;0;234194.84
2763.7097;37.80523;0.61738354;11.0;6;13;2015;0.017647052;0;2;0;0;0;137402.1
2763.7097;62.576405;0.61738354;6.0;2;13;1977;0.011654127;0;4;0;0;0;188644.9
2763.7097;65.10959;0.61738354;6.0;2;13;1977;0.017647052;0;2;0;0;0;148624.36
2763.7097;77.41364;0.61738354;6.0;8;19;2016;0.21140121;0;9;0;0;0;161379.06
2763.7097;36.181446;0.61738354;6.0;2;12;1977;0.011654127;0;4;0;0;0;88623.96
2763.7097;41.674965;0.61738354;6.0;14;19;1977;0.21140121;0;9;0;0;0;97494.67
2763.7097;62.015976;0.61738354;6.0;11;17;1977;0.011654127;0;4;0;0;0;159778.67
2763.7097;49.36065;0.64816743;5.0;6;13;1983;0.051815435;0;5;0;0;0;117000.38
2763.7097;40.492259999999995;0.49218023;10.0;16;18;2015;0.072157584;0;2;1;0;1;126580.51
2763.7097;85.480804;0.61738354;6.0;5;13;1977;0.072157584;0;2;1;0;1;235848.9
2763.7097;43.10069;0.6238023;7.0;5;9;1983;0.21140121;0;9;0;0;0;91024.13
2763.7097;34.844532;0.61738354;6.0;8;17;1977;0.011654127;0;4;0;0;0;111624.05
2763.7097;66.70079;0.61738354;6.0;15;19;2017;0.017647052;0;2;0;0;0;186873.22
2763.7097;83.24441999999999;0.61738354;6.0;3;17;1977;0.072157584;0;2;1;0;1;236682.2
2763.7097;42.534664;0.61738354;10.0;12;17;2016;0.011654127;0;4;0;0;0;106518.42
2763.7097;85.81425;0.61738354;10.0;3;17;2016;0.072157584;0;2;1;0;1;237651.02
2763.7097;64.54795;0.61738354;6.0;6;17;1977;0.072157584;0;2;1;0;1;204607.9
